iter	Passed	Remaining
0	2	241
1	4	215
2	6	206
3	7	191
4	10	192
5	12	194
6	14	194
7	16	192
8	18	188
9	20	183
10	22	180
11	24	176
12	26	174
13	28	173
14	30	171
15	32	168
16	33	165
17	35	162
18	37	160
19	39	158
20	41	155
21	43	153
22	45	150
23	46	148
24	48	146
25	50	144
26	52	141
27	54	140
28	56	138
29	58	137
30	60	135
31	63	133
32	65	131
33	67	130
34	69	128
35	71	126
36	73	124
37	75	122
38	77	120
39	79	118
40	80	116
41	81	112
42	84	111
43	86	110
44	89	109
45	92	108
46	94	106
47	97	105
48	99	103
49	102	102
50	103	99
51	105	97
52	107	95
53	109	93
54	110	90
55	113	88
56	114	86
57	116	84
58	118	82
59	120	80
60	122	78
61	124	76
62	126	74
63	128	72
64	131	70
65	133	68
66	136	67
67	138	65
68	140	63
69	142	61
70	144	59
71	146	56
72	148	54
73	150	53
74	152	50
75	154	48
76	156	46
77	158	44
78	160	42
79	162	40
80	164	38
81	166	36
82	168	34
83	170	32
84	172	30
85	174	28
86	176	26
87	178	24
88	180	22
89	182	20
90	184	18
91	186	16
92	187	14
93	189	12
94	191	10
95	193	8
96	195	6
97	197	4
98	199	2
99	201	0
