iter	Passed	Remaining
0	183	183429
1	193	96544
2	203	67758
3	206	51526
4	209	41677
5	222	36793
6	224	31798
7	226	28039
8	232	25545
9	236	23450
10	239	21501
11	248	20428
12	250	18989
13	252	17807
14	254	16733
15	257	15845
16	265	15363
17	268	14625
18	271	14016
19	280	13725
20	282	13153
21	284	12631
22	292	12437
23	296	12066
24	299	11688
25	301	11307
26	309	11144
27	311	10802
28	313	10481
29	315	10215
30	323	10123
31	329	9967
32	333	9776
33	336	9567
34	338	9342
35	344	9235
36	347	9051
37	349	8853
38	351	8666
39	358	8594
40	361	8455
41	363	8297
42	365	8139
43	374	8127
44	378	8029
45	381	7916
46	386	7845
47	389	7729
48	392	7614
49	394	7492
50	396	7376
51	402	7329
52	404	7222
53	406	7114
54	408	7025
55	410	6925
56	415	6871
57	417	6782
58	419	6689
59	421	6602
60	423	6516
61	425	6435
62	427	6364
63	431	6307
64	433	6235
65	435	6164
66	437	6098
67	440	6032
68	442	5963
69	445	5925
70	448	5862
71	450	5800
72	452	5740
73	453	5680
74	455	5621
75	457	5566
76	461	5531
77	463	5479
78	465	5426
79	467	5373
80	469	5321
81	470	5272
82	471	5214
83	475	5186
84	477	5140
85	479	5095
86	481	5050
87	483	5008
88	485	4965
89	486	4924
90	490	4903
91	492	4864
92	494	4825
93	496	4787
94	498	4751
95	500	4714
96	506	4713
97	508	4677
98	510	4643
99	512	4608
100	513	4574
101	515	4541
102	520	4531
103	522	4502
104	524	4472
105	526	4442
106	529	4416
107	531	4387
108	535	4377
109	537	4348
110	540	4329
111	543	4308
112	546	4287
113	551	4289
114	555	4277
115	558	4259
116	560	4230
117	565	4229
118	568	4209
119	571	4187
120	573	4163
121	574	4138
122	576	4114
123	580	4102
124	583	4082
125	584	4057
126	586	4030
127	588	4006
128	590	3986
129	592	3967
130	595	3952
131	597	3931
132	599	3909
133	601	3888
134	604	3871
135	607	3860
136	612	3855
137	614	3836
138	615	3815
139	618	3797
140	620	3779
141	621	3756
142	624	3739
143	627	3728
144	629	3709
145	631	3691
146	633	3676
147	635	3658
148	637	3640
149	639	3624
150	642	3611
151	644	3593
152	645	3575
153	647	3556
154	649	3538
155	650	3521
156	652	3504
157	656	3496
158	658	3481
159	659	3464
160	661	3445
161	663	3430
162	664	3414
163	666	3399
164	670	3394
165	673	3382
166	675	3367
167	676	3352
168	678	3337
169	680	3323
170	682	3309
171	686	3306
172	688	3292
173	690	3278
174	692	3263
175	693	3248
176	695	3234
177	697	3220
178	702	3222
179	704	3209
180	706	3196
181	708	3182
182	709	3169
183	711	3155
184	714	3145
